詞條,定義,反義詞
敗,在競爭中獲勝。,失
敗,在競爭中獲勝。,折
敗,在競爭中獲勝。,輸
敗,在競爭中獲勝。,落敗
敗,在競爭中獲勝。,失敗
敗,在競爭中獲勝。,敗
敗,在競爭中獲勝。,北
敗,在競爭中獲勝。,失
敗,在競爭中獲勝。,墨
敗,在競爭中獲勝。,折
敗,形容沒有達到預期的結果。,成功
敗,形容沒有達到預期的結果。,成
敗,形容沒有達到預期的結果。,成
敗,形容沒有達到預期的結果。,成功
整,事物的全體。,部分
整,事物的全體。,部份
整,事物的全體。,部分
整,事物的全體。,部份
斃,形容生物失去生命。,活
斃,形容生物失去生命。,生存
斃,形容生物失去生命。,生
斃,形容生物失去生命。,存
斃,形容生物失去生命。,昌
斃,形容生物失去生命。,生存
斃,形容生物失去生命。,生
斃,形容生物失去生命。,生存
斃,形容生物失去生命。,生
斃,形容生物失去生命。,昌
斃,形容生物失去生命。,活
斃,形容生物失去生命。,存
文,形容不使用肢體暴力。,武
文,形容不使用肢體暴力。,武
文,指文學、書法等以腦力為主的活動。,武
文,指文學、書法等以腦力為主的活動。,武
斯,離說話者或參考點較近的位置。,那裏
斯,離說話者或參考點較近的位置。,那
斯,離說話者或參考點較近的位置。,那裡
斯,離說話者或參考點較近的位置。,那邊
斯,離說話者或參考點較近的位置。,那兒
斯,離說話者或參考點較近的位置。,那
斯,離說話者或參考點較近的位置。,那裏
斯,離說話者或參考點較近的位置。,那邊
斯,離說話者或參考點較近的位置。,那兒
斯,離說話者或參考點較近的位置。,那裡
新,形容特定對象剛產生不久。,老
新,形容特定對象剛產生不久。,邁
新,形容特定對象剛產生不久。,舊
新,形容特定對象剛產生不久。,陳
新,形容特定對象剛產生不久。,宿
新,形容特定對象剛產生不久。,邁
新,形容特定對象剛產生不久。,老
新,形容特定對象剛產生不久。,陳
新,形容特定對象剛產生不久。,舊
新,形容特定對象剛產生不久。,宿
新,形容還沒使用過或看起來像還沒使用過的。,舊
新,形容還沒使用過或看起來像還沒使用過的。,舊
新,形容關係剛產生不久。,老
新,形容關係剛產生不久。,舊
新,形容關係剛產生不久。,老
新,形容關係剛產生不久。,舊
新,形容關係剛產生不久。,老
新,形容關係剛產生不久。,舊
新興,形容特定對象剛產生不久。,老
新興,形容特定對象剛產生不久。,邁
新興,形容特定對象剛產生不久。,舊
新興,形容特定對象剛產生不久。,陳
新興,形容特定對象剛產生不久。,宿
新興,形容特定對象剛產生不久。,邁
新興,形容特定對象剛產生不久。,老
新興,形容特定對象剛產生不久。,陳
新興,形容特定對象剛產生不久。,舊
新興,形容特定對象剛產生不久。,宿
方便,形容容易達到使用目的。,不便
方便,形容容易達到使用目的。,不便
方便,形容容易達到使用目的。,不便
方便,形容委婉表達主事者有所顧忌。,不便
方便,形容委婉表達主事者有所顧忌。,不便
方便,形容比喻有多餘可運用的金錢。,不便
方便,形容比喻有多餘可運用的金錢。,緊
方便,形容比喻有多餘可運用的金錢。,据
方便,形容比喻有多餘可運用的金錢。,不便
方便,形容比喻有多餘可運用的金錢。,緊
方便,形容比喻有多餘可運用的金錢。,据
於,引介動作或狀態達到的階段或程度。,不到
於,引介動作或狀態達到的階段或程度。,不到
日,太陽升起到太陽下山的時間。,夜
日,太陽升起到太陽下山的時間。,夜
早,早晨。,晚
早,早晨。,晚上
早,早晨。,夜
早,早晨。,夕
早,早晨。,夜晚
早,早晨。,宵
早,早晨。,晚上
早,早晨。,晚
早,早晨。,夕
早,早晨。,夜晚
早,早晨。,宵
早,早晨。,夜
早,形容發生在早晨的。,晚
早,形容發生在早晨的。,夜
早,形容發生在早晨的。,晚
早,形容發生在早晨的。,夜
早,形容在語境中共同認知的時間範圍內不屬於最後的時段。,晚
早,形容在語境中共同認知的時間範圍內不屬於最後的時段。,遲
早,形容在語境中共同認知的時間範圍內不屬於最後的時段。,晚
早,形容在語境中共同認知的時間範圍內不屬於最後的時段。,遲
早,形容在事件的初期的。,晚
早,形容在事件的初期的。,晚
早,形容事件的發生比預期的時間提前的。,晚
早,形容事件的發生比預期的時間提前的。,遲
早,形容事件的發生比預期的時間提前的。,晚
早,形容事件的發生比預期的時間提前的。,遲
早,形容事件發生時間在其他同類事件之前。,晚
早,形容事件發生時間在其他同類事件之前。,遲
早,形容事件發生時間在其他同類事件之前。,晚
早,形容事件發生時間在其他同類事件之前。,遲
早,早於現在或前述事件的時段。,後
早,早於現在或前述事件的時段。,后
早,早於現在或前述事件的時段。,以後
早,早於現在或前述事件的時段。,以后
早,早於現在或前述事件的時段。,之後
早,早於現在或前述事件的時段。,之后
早,早於現在或前述事件的時段。,而後
早,早於現在或前述事件的時段。,晚
早,早於現在或前述事件的時段。,後面
早,早於現在或前述事件的時段。,后
早,早於現在或前述事件的時段。,慢
早,早於現在或前述事件的時段。,後來
早,早於現在或前述事件的時段。,以往
早,早於現在或前述事件的時段。,以後
早,早於現在或前述事件的時段。,之後
早,早於現在或前述事件的時段。,以后
早,早於現在或前述事件的時段。,之后
早,早於現在或前述事件的時段。,晚
早,早於現在或前述事件的時段。,後
早,早於現在或前述事件的時段。,后
早,早於現在或前述事件的時段。,而後
早,早於現在或前述事件的時段。,後面
早,早於現在或前述事件的時段。,慢
早,早於現在或前述事件的時段。,後來
早,早於現在或前述事件的時段。,以往
旺,形容多而熱烈。,衰
旺,形容多而熱烈。,衰
旺,形容多而熱烈。,冷
旺,形容多而熱烈。,淡
旺,形容前述特質充足或超過標準。,虛
旺,形容前述特質充足或超過標準。,虛
昂,形容比喻價格高的。,賤
昂,形容比喻價格高的。,便宜
昂,形容比喻價格高的。,便宜
昂,形容比喻價格高的。,賤
昆,對同父或同母所生並比自己先出生的男子的指稱。,弟弟
昆,對同父或同母所生並比自己先出生的男子的指稱。,弟
昆,對同父或同母所生並比自己先出生的男子的指稱。,仲
昆,對同父或同母所生並比自己先出生的男子的指稱。,弟弟
昆,對同父或同母所生並比自己先出生的男子的指稱。,仲
昆,對同父或同母所生並比自己先出生的男子的指稱。,弟
昆,同父或同母生的男子，先出生者。,弟弟
昆,同父或同母生的男子，先出生者。,弟
昆,同父或同母生的男子，先出生者。,仲
昆,同父或同母生的男子，先出生者。,弟弟
昆,同父或同母生的男子，先出生者。,仲
昆,同父或同母生的男子，先出生者。,弟
昇高,前述物體從頂部到地面的距離變大。,矮
昇高,前述物體從頂部到地面的距離變大。,低
昇高,前述物體從頂部到地面的距離變大。,低
昇高,前述物體從頂部到地面的距離變大。,矮
昇高,比喻前述對象輩份或地位階級變大。,矮
昇高,比喻前述對象輩份或地位階級變大。,低
昇高,比喻前述對象輩份或地位階級變大。,低
昇高,比喻前述對象輩份或地位階級變大。,矮
昇高,數值變大。,低
昇高,數值變大。,低
昇高,音高變高。,低
昇高,音高變高。,低
昇高,程度或標準變高。,低
昇高,程度或標準變高。,低
昌,形容生命持續。,離開
昌,形容生命持續。,離去
昌,形容生命持續。,過往
昌,形容生命持續。,死
昌,形容生命持續。,死掉
昌,形容生命持續。,死亡
昌,形容生命持續。,逝
昌,形容生命持續。,過去
昌,形容生命持續。,亡
昌,形容生命持續。,掛
昌,形容生命持續。,走
昌,形容生命持續。,去
昌,形容生命持續。,弱
昌,形容生命持續。,回去
昌,形容生命持續。,斃
昌,形容生命持續。,歿
昌,形容生命持續。,離開
昌,形容生命持續。,離去
昌,形容生命持續。,死
昌,形容生命持續。,死亡
昌,形容生命持續。,亡
昌,形容生命持續。,死亡
昌,形容生命持續。,逝
昌,形容生命持續。,亡
昌,形容生命持續。,走
昌,形容生命持續。,回去
昌,形容生命持續。,死
昌,形容生命持續。,死掉
昌,形容生命持續。,過去
昌,形容生命持續。,掛
昌,形容生命持續。,去
昌,形容生命持續。,弱
昌,形容生命持續。,歿
昌,形容生命持續。,斃
昌,形容生命持續。,離去
昌,形容生命持續。,離開
昌,形容生命持續。,過往
明,形容光源的光線充足。,暗
明,形容光源的光線充足。,暗示
明,形容光源的光線充足。,暗示
明,形容光源的光線充足。,暗
明,燈光被點亮。,暗
明,燈光被點亮。,暗
明,形容比喻顯露在外部而容易看到的。,暗
明,形容比喻顯露在外部而容易看到的。,暗
明,形容比喻對象的狀況公開顯露出來的。,暗
明,形容比喻對象的狀況公開顯露出來的。,暗
明,形容比喻事件在公開的情況下進行的。,暗
明,形容比喻事件在公開的情況下進行的。,地下
明,形容比喻事件在公開的情況下進行的。,暗
明,形容比喻事件在公開的情況下進行的。,地下
明,表公開表達不隱瞞。,暗
明,表公開表達不隱瞞。,暗
明,表公開表達不隱瞞。,暗
明,表公開表達不隱瞞。,暗
明,形容認知的內容容易明確。,茫
明,形容認知的內容容易明確。,茫
明,形容比喻顏色較淺且亮度高的。,暗
明,形容比喻顏色較淺且亮度高的。,暗
明,比喻追求公理正義的一方。,暗
明,比喻追求公理正義的一方。,暗
明顯,形容非常容易觀察到的。,不彰
昏,形容沒有足夠光線照射的。,亮
昏,形容沒有足夠光線照射的。,亮
易,形容特定事件可以輕易達成。,難
易,形容特定事件可以輕易達成。,不易
易,形容特定事件可以輕易達成。,困難
易,形容特定事件可以輕易達成。,困難
易,形容特定事件可以輕易達成。,難
易,形容特定事件可以輕易達成。,不易
易,形容特定事件可以輕易達成。,困難
易,表後述事件發生的可能性大。,難
易,表後述事件發生的可能性大。,不易
易,表後述事件發生的可能性大。,困難
易,表後述事件發生的可能性大。,難
易,表後述事件發生的可能性大。,不易
易,表後述事件發生的可能性大。,困難
昨,在時間參考點之前的時段。,後
昨,在時間參考點之前的時段。,后
昨,在時間參考點之前的時段。,後面
昨,在時間參考點之前的時段。,后
昨,在時間參考點之前的時段。,後
昨,在時間參考點之前的時段。,后
昨,在時間參考點之前的時段。,後面
昨天,在時間參考點之前的時段。,後
昨天,在時間參考點之前的時段。,后
昨天,在時間參考點之前的時段。,後面
昨天,在時間參考點之前的時段。,后
昨天,在時間參考點之前的時段。,後
昨天,在時間參考點之前的時段。,后
昨天,在時間參考點之前的時段。,後面
昨日,在時間參考點之前的時段。,後
昨日,在時間參考點之前的時段。,后
昨日,在時間參考點之前的時段。,後面
昨日,在時間參考點之前的時段。,后
昨日,在時間參考點之前的時段。,後
昨日,在時間參考點之前的時段。,后
昨日,在時間參考點之前的時段。,後面
是,形容正確的或處理特定事件的作法適當。,錯
是,形容正確的或處理特定事件的作法適當。,錯
是,形容正確的或處理特定事件的作法適當。,不行
時,表一件事的兩種狀態不定時交替發生。,經常
晉,狀態的等級或地位增高。,下降
晉,狀態的等級或地位增高。,下降
晉,狀態的等級或地位增高。,下降
晉級,狀態的等級或地位增高。,下降
晉級,狀態的等級或地位增高。,下降
晉級,狀態的等級或地位增高。,下降
晚,太陽下山後到太陽出來前的時間。,早
晚,太陽下山後到太陽出來前的時間。,朝
晚,太陽下山後到太陽出來前的時間。,朝
晚,太陽下山後到太陽出來前的時間。,早
晚,形容發生在天黑之後的。,早
晚,形容發生在天黑之後的。,早
晚,形容在語境中共同認知的時間範圍內屬於最後的時段。,早
晚,形容在語境中共同認知的時間範圍內屬於最後的時段。,早
晚,形容在事件的末期的。,早
晚,形容在事件的末期的。,早
晚,形容事件的發生比預期的時間延後的。,早
晚,形容事件的發生比預期的時間延後的。,早
晚,形容事件發生時間在其他同類事件之後。,早
晚,形容事件發生時間在其他同類事件之後。,早
晚,晚於現在或前述事件的時段。,早
晚,晚於現在或前述事件的時段。,前
晚,晚於現在或前述事件的時段。,前面
晚,晚於現在或前述事件的時段。,過去
晚,晚於現在或前述事件的時段。,過往
晚,晚於現在或前述事件的時段。,早
晚,晚於現在或前述事件的時段。,前面
晚,晚於現在或前述事件的時段。,前
晚,晚於現在或前述事件的時段。,過去
晚,晚於現在或前述事件的時段。,過往
晚上,太陽下山後到太陽出來前的時間。,早
晚上,太陽下山後到太陽出來前的時間。,朝
晚上,太陽下山後到太陽出來前的時間。,朝
晚上,太陽下山後到太陽出來前的時間。,早
晝,太陽升起到太陽下山的時間。,
晝,太陽升起到太陽下山的時間。,夜
晝,太陽升起到太陽下山的時間。,夜
暑,形容溫度高或感覺溫度高的。,冷
暑,形容溫度高或感覺溫度高的。,寒
暑,形容溫度高或感覺溫度高的。,寒
暑,形容溫度高或感覺溫度高的。,冷
暖,形容溫度微高或感覺溫度微高的。,寒流
暗,形容光源的光線不足的。,明
暗,形容光源的光線不足的。,亮
暗,形容光源的光線不足的。,明
暗,形容光源的光線不足的。,亮
暗,形容沒有足夠光線照射的。,亮
暗,形容沒有足夠光線照射的。,亮
暗,燈光被關掉。,明
暗,燈光被關掉。,亮
暗,燈光被關掉。,明
暗,燈光被關掉。,亮
暗,形容隱藏在內部而不容易看到的。,明
暗,形容隱藏在內部而不容易看到的。,明
暗,形容比喻對象的狀況不公開顯露出來的。,明
暗,形容比喻對象的狀況不公開顯露出來的。,明
暗,形容比喻事件不在公開的情況下進行的。,明
暗,形容比喻事件不在公開的情況下進行的。,明
暗,表故意隱瞞不讓他人知道。,明
暗,表故意隱瞞不讓他人知道。,明
暗,表以委婉的方式達到與表面現象相反的目的。,明
暗,表以委婉的方式達到與表面現象相反的目的。,明
暗,形容比喻顏色較深且亮度低的。,明
暗,形容比喻顏色較深且亮度低的。,清
暗,形容比喻顏色較深且亮度低的。,亮
暗,形容比喻顏色較深且亮度低的。,清
暗,形容比喻顏色較深且亮度低的。,明
暗,形容比喻顏色較深且亮度低的。,亮
暗,比喻為了私利而損害公理正義的一方。,明
暗,比喻為了私利而損害公理正義的一方。,明
暫,形容事件持續的時間間隔小。,長
暫,形容事件持續的時間間隔小。,久
暫,形容事件持續的時間間隔小。,漫
暫,形容事件持續的時間間隔小。,長久
曝,比喻透露不該讓他人知道的事。,祕
曝,比喻透露不該讓他人知道的事。,祕
曲,形容呈弧形狀、不直。,直
曲,形容呈弧形狀、不直。,直
更多,形容數量上進一步增加。,更少
更多,形容數量上進一步增加。,更少
更少,形容數量上進一步減少。,更多
更少,形容數量上進一步減少。,更多
最多,形容數量多於所有其他的同類事物。,最少
最多,形容數量多於所有其他的同類事物。,最少
最多,指數量多於所有其他的同類事物。,最少
最多,指數量多於所有其他的同類事物。,最少
最少,形容數量少於所有其他的同類事物。,最多
最少,形容數量少於所有其他的同類事物。,最多
最少,指數量少於所有其他的同類事物。,最多
最少,指數量少於所有其他的同類事物。,最多
有,維持擁有的狀態。,沒有
有,維持擁有的狀態。,沒
有,維持擁有的狀態。,無
有,維持擁有的狀態。,沒
有,維持擁有的狀態。,無
有,維持擁有的狀態。,沒有
有,後述對象存在。,沒有
有,後述對象存在。,沒
有,後述對象存在。,無
有,後述對象存在。,毋
有,後述對象存在。,沒
有,後述對象存在。,無
有,後述對象存在。,毋
有,後述對象存在。,沒有
有,達到後述數量。,沒有
有,達到後述數量。,沒
有,達到後述數量。,沒
有,達到後述數量。,沒有
有,達到後述程度。,沒有
有,達到後述程度。,沒
有,達到後述程度。,沒
有,達到後述程度。,沒有
有,表肯定事件的發生。,沒有
有,表肯定事件的發生。,沒
有,表肯定事件的發生。,沒
有,表肯定事件的發生。,沒有
有幸,形容運氣好。,背
有幸,形容運氣好。,不幸
有幸,形容運氣好。,衰
有幸,形容運氣好。,賽
有幸,形容運氣好。,塞
有幸,形容運氣好。,屎
有幸,形容運氣好。,糞
有幸,形容運氣好。,不幸
有幸,形容運氣好。,糞
有幸,形容運氣好。,不幸
有幸,形容運氣好。,背
有幸,形容運氣好。,衰
有幸,形容運氣好。,塞
有幸,形容運氣好。,賽
有幸,形容運氣好。,屎
有心,具有特定意圖。,無心
有心,具有特定意圖。,無心
有線,形容訊號經由導線傳送的。,無線
有線,形容訊號經由導線傳送的。,無線
有聲,形容以語言聲音表達的。,無聲
朝,早晨。,晚上
朝,早晨。,晚
朝,早晨。,夜
朝,早晨。,夕
朝,早晨。,夜晚
朝,早晨。,宵
朝,早晨。,晚上
朝,早晨。,晚
朝,早晨。,夕
朝,早晨。,夜晚
朝,早晨。,宵
朝,早晨。,夜
木,形容比喻物體表面的觸感不光滑。,細
木,形容比喻物體表面的觸感不光滑。,細
未知,形容還不知道的。,已知
未知,形容還不知道的。,已知
未知,還不知道的情形。,已知
未知,還不知道的情形。,已知
本,形容最主要的。,副
本,形容最主要的。,副
本,指時空上距離說話者較近的後述對象。,那
本,指時空上距離說話者較近的後述對象。,那
本,指時空上距離說話者較近的後述對象。,那
東,亞洲國家。,西
東,亞洲國家。,西方
東,亞洲國家。,西
東,亞洲國家。,西方
東,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西式
東,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西方
東,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西
東,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西
東,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西式
東,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西方
東方,亞洲國家。,西
東方,亞洲國家。,西方
東方,亞洲國家。,西
東方,亞洲國家。,西方
東方,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西式
東方,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西
東方,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西方
東方,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西式
東方,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西
東方,形容形式、風格上屬於亞洲國家或來自於亞洲國家的。,西方
果,事物經發展變化後的最後狀況。,因
果,事物經發展變化後的最後狀況。,原因
果,事物經發展變化後的最後狀況。,關係
果,事物經發展變化後的最後狀況。,肇始
果,事物經發展變化後的最後狀況。,故
果,事物經發展變化後的最後狀況。,導因
果,事物經發展變化後的最後狀況。,緣
果,事物經發展變化後的最後狀況。,肇始
果,事物經發展變化後的最後狀況。,故
果,事物經發展變化後的最後狀況。,因
果,事物經發展變化後的最後狀況。,原因
果,事物經發展變化後的最後狀況。,關係
果,事物經發展變化後的最後狀況。,導因
果,事物經發展變化後的最後狀況。,緣
果,在善惡循環的觀念下，事物因特定原因而發展出的最後狀況。,因
果,在善惡循環的觀念下，事物因特定原因而發展出的最後狀況。,因
柔,形容視覺上令人感覺舒服，而沒有強烈的線條、顏色或其他對比。,剛
柔,形容視覺上令人感覺舒服，而沒有強烈的線條、顏色或其他對比。,硬
柔,形容視覺上令人感覺舒服，而沒有強烈的線條、顏色或其他對比。,剛
柔,形容視覺上令人感覺舒服，而沒有強烈的線條、顏色或其他對比。,硬
柔,形容比喻動作力道不外顯。,剛
柔,形容比喻動作力道不外顯。,剛
柔,形容比喻個性溫和，不容易與人起衝突。,剛
柔,形容比喻個性溫和，不容易與人起衝突。,剛
柔,形容比喻個性溫和，不容易與人起衝突。,傲
柴,形容對特定對象的評價是負面的。,好
柴,形容對特定對象的評價是負面的。,佳
柴,形容對特定對象的評價是負面的。,良好
柴,形容對特定對象的評價是負面的。,優
柴,形容對特定對象的評價是負面的。,嘉
柴,形容對特定對象的評價是負面的。,良
柴,形容對特定對象的評價是負面的。,不錯
柴,形容對特定對象的評價是負面的。,好
柴,形容對特定對象的評價是負面的。,佳
柴,形容對特定對象的評價是負面的。,良
柴,形容對特定對象的評價是負面的。,不錯
柴,形容對特定對象的評價是負面的。,良好
柴,形容對特定對象的評價是負面的。,優
柴,形容對特定對象的評價是負面的。,嘉
業餘,形容不是以後述工作或身份為主要維生來源的。,職業
業餘,形容不是以後述工作或身份為主要維生來源的。,職業
橫,形容以說話者為參考點，由右到左或由左到右的方向。,縱
橫,形容以說話者為參考點，由右到左或由左到右的方向。,縱
橫,形容比喻在階層上沒有上下關係的。,縱
橫,形容比喻在階層上沒有上下關係的。,縱
橫,書寫筆畫的一種，呈由左往右的直線。,直
橫,表順著物體短邊的方向。,縱
橫,表順著物體短邊的方向。,縱
橫,形容比喻同一時代中涵蓋不同區域的。,縱
橫,形容比喻同一時代中涵蓋不同區域的。,縱
次,事件或時間順序在參考點之後。,上
次,事件或時間順序在參考點之後。,上
次要,形容重要性較低的。,主要
欲,心中存有完成後述事件的願望。,不要
欲,心中存有完成後述事件的願望。,不要
止,表示事件時間範圍的結束參考點。,起
止,表示事件時間範圍的結束參考點。,始
止,表示事件時間範圍的結束參考點。,開始
止,表示事件時間範圍的結束參考點。,起
止,表示事件時間範圍的結束參考點。,開始
止,表示事件時間範圍的結束參考點。,始
止,表示遠離空間參考點的空間界限。,起
止,表示遠離空間參考點的空間界限。,開始
止,表示遠離空間參考點的空間界限。,起
止,表示遠離空間參考點的空間界限。,起
止,表示遠離空間參考點的空間界限。,開始
正,表特定對象的順序與預期的順序形成完全的對比。,倒
正,表特定對象的順序與預期的順序形成完全的對比。,反
正,表特定對象的順序與預期的順序形成完全的對比。,倒
正,表特定對象的順序與預期的順序形成完全的對比。,反
正,形容特定對象的位置是上下正確的。,倒
正,形容特定對象的位置是上下正確的。,反
正,形容特定對象的位置是上下正確的。,倒
正,形容特定對象的位置是上下正確的。,反
正,形容在中間或最主要的位置的。,偏
正,形容在中間或最主要的位置的。,偏
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,後
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,後面
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,后
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,后
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,背
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,反
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,後
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,后
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,背
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,後面
正,人造物約定俗成朝上或朝前且最容易觀察到的面。,反
正,形容字體端正符合標準的。,草
正,形容字體端正符合標準的。,草
正,形容具有完整的地位或權力的。,副
正,形容具有完整的地位或權力的。,副
正,形容最主要的。,副
正,形容最主要的。,副
正,贊成的意見。,反
正,贊成的意見。,反
正,形容對特定對象有好的影響。,負
正,形容對特定對象有好的影響。,負面
正,形容對特定對象有好的影響。,負
正,形容對特定對象有好的影響。,負面
正,形容比零大的。,負
正,形容比零大的。,負
正,比零大的數目。,負
正,比零大的數目。,負
正,用來表示數目比零大的數學符號。,負
正,用來表示數目比零大的數學符號。,負
正,形容電子聚集少，帶正電的。,負
正,形容電子聚集少，帶正電的。,陰
正,形容電子聚集少，帶正電的。,負
正,形容電子聚集少，帶正電的。,陰
正常,形容符合一般規律或情況的。,異常
正常,形容符合一般規律或情況的。,異常
正式,形容符合公認標準的。,非正式
正式,形容符合公認標準的。,非正式
正式,形容具有正式關係或身份。,非正式
正式,形容具有正式關係或身份。,非正式
此,離說話者或參考點較近的位置。,那裡
此,離說話者或參考點較近的位置。,那裏
此,離說話者或參考點較近的位置。,那
此,離說話者或參考點較近的位置。,那邊
此,離說話者或參考點較近的位置。,那兒
此,離說話者或參考點較近的位置。,那
此,離說話者或參考點較近的位置。,那裏
此,離說話者或參考點較近的位置。,那邊
此,離說話者或參考點較近的位置。,那兒
此,離說話者或參考點較近的位置。,那裡
武,指武術功夫、體育技能或其他以體力為主的類似活動。,文
武,指武術功夫、體育技能或其他以體力為主的類似活動。,文
武,形容使用肢體暴力。,文
武,形容使用肢體暴力。,文
死,形容沒有生命的。,活
死,形容沒有生命的。,活生生
死,形容沒有生命的。,活生生
死,形容沒有生命的。,活
死,形容生物失去生命。,生存
死,形容生物失去生命。,生存
死,形容生物失去生命。,生
死,形容生物失去生命。,生
死,形容生物失去生命。,昌
死,形容生物失去生命。,活
死,形容生物失去生命。,存
死,形容比喻事件終止不再存在。,活
死,形容比喻事件終止不再存在。,存在
死,形容比喻事件終止不再存在。,立
死,形容比喻事件終止不再存在。,存
死,形容比喻事件終止不再存在。,存在
死,形容比喻事件終止不再存在。,立
死,形容比喻事件終止不再存在。,存在
死,形容比喻事件終止不再存在。,活
死,形容比喻事件終止不再存在。,存
死,使後述對象失去生命。,活
死,使後述對象失去生命。,活
死,形容比喻沒有生命的。,活
死,形容比喻沒有生命的。,活
死,形容不能流動的。,活
死,形容不能流動的。,活
死,形容不再使用的。,活
死,形容不再使用的。,活
死,形容比喻沒變化的或不可改變的。,活
死,形容比喻沒變化的或不可改變的。,活
死,形容火山斷層沒有地質活動或沒有立即產生地質活動的潛力的。,活
死,形容火山斷層沒有地質活動或沒有立即產生地質活動的潛力的。,活動
死,形容火山斷層沒有地質活動或沒有立即產生地質活動的潛力的。,活
死,形容火山斷層沒有地質活動或沒有立即產生地質活動的潛力的。,活動
死亡,形容生物失去生命。,生存
死亡,形容生物失去生命。,生存
死亡,形容生物失去生命。,生
死亡,形容生物失去生命。,生
死亡,形容生物失去生命。,昌
死亡,形容生物失去生命。,活
死亡,形容生物失去生命。,存
死亡,形容比喻事件終止不再存在。,立
死亡,形容比喻事件終止不再存在。,存在
死亡,形容比喻事件終止不再存在。,存在
死亡,形容比喻事件終止不再存在。,活
死亡,形容比喻事件終止不再存在。,存
死掉,形容生物失去生命。,生存
死掉,形容生物失去生命。,活
死掉,形容生物失去生命。,生
死掉,形容生物失去生命。,存
死掉,形容生物失去生命。,昌
死掉,形容生物失去生命。,生存
死掉,形容生物失去生命。,生
死掉,形容生物失去生命。,生存
死掉,形容生物失去生命。,生
死掉,形容生物失去生命。,昌
死掉,形容生物失去生命。,活
死掉,形容生物失去生命。,存
歿,形容生物失去生命。,活
歿,形容生物失去生命。,生存
歿,形容生物失去生命。,生
歿,形容生物失去生命。,存
歿,形容生物失去生命。,昌
歿,形容生物失去生命。,生存
歿,形容生物失去生命。,生
歿,形容生物失去生命。,生存
歿,形容生物失去生命。,生
歿,形容生物失去生命。,昌
歿,形容生物失去生命。,活
歿,形容生物失去生命。,存
毋,後述對象不存在。,有
毋,後述對象不存在。,存有
毋,後述對象不存在。,有
毋,後述對象不存在。,存有
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,阿
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,父親
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爸爸
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爹
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,老子
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爸
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,父
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,老
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爺
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爸爸
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爸
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,父
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,老子
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,父親
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爹
母,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。,爺
母,有子女的女子。,父親
母,有子女的女子。,爸
母,有子女的女子。,爸爸
母,有子女的女子。,爹
母,有子女的女子。,父
母,有子女的女子。,父
母,有子女的女子。,爸
母,有子女的女子。,爸爸
母,有子女的女子。,爹
母,有子女的女子。,父親
母,形容除了人以外的動物中具生產後代能力的性別。,公
母,形容除了人以外的動物中具生產後代能力的性別。,雄
母,形容除了人以外的動物中具生產後代能力的性別。,雄
母,形容除了人以外的動物中具生產後代能力的性別。,特
母,形容除了人以外的動物中具生產後代能力的性別。,雄
母,形容除了人以外的動物中具生產後代能力的性別。,特
母,形容除了人以外的動物中具生產後代能力的性別。,公
母,除了人以外具有生產後代能力的動物。,公
